Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33753499,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,39543154,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,51368,47321
"Population, total",SP.POP.TOTL,Andorra,AND,71746,76343
"Population, total",SP.POP.TOTL,Angola,AGO,28127721,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89941,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,43131966,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2878595,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,104257,106442
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,392697,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1362142,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,157830000,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,278083,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,359871,389095
"Population, total",SP.POP.TOTL,Benin,BEN,10932783,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,65237,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,743274,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,11090085,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3524324,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2305171,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,205188205,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29366,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,421437,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18718019,20951639
"Population, total",SP.POP.TOTL,Burundi,BDI,10727148,11874838
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,552166,577030
"Population, total",SP.POP.TOTL,Cambodia,KHM,15417523,16207746
"Population, total",SP.POP.TOTL,Cameroon,CMR,23012646,25782341
"Population, total",SP.POP.TOTL,Canada,CAN,35704498,37618495
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,60911,66134
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4819333,5209324
"Population, total",SP.POP.TOTL,Chad,TCD,14140274,16126866
"Population, total",SP.POP.TOTL,Channel Islands,CHI,162190,169410
"Population, total",SP.POP.TOTL,Chile,CHL,17870124,19039485
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,47119728,50187406
"Population, total",SP.POP.TOTL,Comoros,COM,730216,790986
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,78656904,89906890
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5064386,5570733
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4895242,5084532
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23596741,26147551
"Population, total",SP.POP.TOTL,Croatia,HRV,4203604,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11339894,11316697
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1187280,1228836
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1006259,1073994
"Population, total",SP.POP.TOTL,Dominica,DMA,70007,71428
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10405832,10881882
"Population, total",SP.POP.TOTL,Ecuador,ECU,16195902,17343740
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,97723799,105618671
"Population, total",SP.POP.TOTL,El Salvador,SLV,6231066,6280217
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1346973,1553031
"Population, total",SP.POP.TOTL,Eritrea,ERI,3340006,3498818
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,102471895,114120594
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48816,51681
"Population, total",SP.POP.TOTL,Fiji,FJI,917200,918465
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5521606
"Population, total",SP.POP.TOTL,France,FRA,66548272,67388001
"Population, total",SP.POP.TOTL,French Polynesia,PYF,291787,299717
"Population, total",SP.POP.TOTL,Gabon,GAB,2028517,2242785
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2253133,2508883
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,28870939,31522290
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32520,32685
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,118980,122724
"Population, total",SP.POP.TOTL,Guam,GUM,167978,168624
"Population, total",SP.POP.TOTL,Guatemala,GTM,15567419,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,11625998,12877539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1788919,1970457
"Population, total",SP.POP.TOTL,Guyana,GUY,755031,798753
"Population, total",SP.POP.TOTL,Haiti,HTI,10563757,11160438
"Population, total",SP.POP.TOTL,Honduras,HND,9294505,9958829
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9843028,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,360563
"Population, total",SP.POP.TOTL,India,IND,1322866505,1383112050
"Population, total",SP.POP.TOTL,Indonesia,IDN,259091970,269582878
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,81790841,86564202
"Population, total",SP.POP.TOTL,Iraq,IRQ,37757813,41563520
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83933
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,60730582,59729081
